generic,exemplar
Eagles have feathers.,Eagles have body feathers.
Birds feed on grain.,Birds feed on corn.
Birds feed on grain.,Birds feed on wheat.
Peregrine falcons have wings.,Peregrine falcons have long wings.
Birds depend on vegetation.,Birds depend on shrubs.
Birds depend on vegetation.,Birds depend on trees.
Toucans live in rainforests.,Toucans live in subtropical rainforests.
Toucans live in rainforests.,Toucans live in tropical rainforests.
Toucans live in rainforests.,Toucans live in a tropical rainforest.
Kingfishers have long tails.,Kingfishers have stream long tails.
White storks have legs.,White storks have two legs.
Robins eat earthworms.,Robins eat there are many types of earthworms that robins eat.
Robins eat earthworms.,Robins eat earthworms.
Robins eat earthworms.,Robins eat worms.
Hawks fly over trees.,Hawks fly over forest trees.
Birds possess flight.,Birds possess flapping.
Birds possess flight.,Birds possess flying.
Wood storks capture prey.,Wood storks capture small mammals.
Parrots have throats.,Parrots have a larynx.
Parrots have throats.,Parrots have the larynx.
Robins eat insects.,Robins eat crickets.
Robins eat insects.,Robins eat insects.
Hummingbirds have metabolism.,Hummingbirds have a digestive metabolism.
Hummingbirds have metabolism.,Hummingbirds have a reproductive metabolism.
Birds have four toes.,Birds have a fourth toe.
Hummingbirds seek nectar.,Hummingbirds seek nectar from flowers.
Hummingbirds seek nectar.,Hummingbirds seek flower nectar.
Birds sit on legs.,Birds sit on legs.
Birds have muscles.,Birds have flight muscles.
Pelicans has-part glands.,Pelicans has a pelvic gland.
Owls have ears.,Owls have tufted ears.
Owls have ears.,Owls have an external ear.
Owls have ears.,Owls have hidden ears.
Flamingos feed in lagoons.,Flamingos feed in salt water lagoons.
Flamingos feed in lagoons.,Flamingos feed in a lagoon.
Birds wait for prey.,Birds wait for small animals.
Birds use wings.,Birds use wings help birds to fly in the air.
Birds use wings.,Birds use wings help birds to stay in the air.
Birds use wings.,Birds use wings are used by birds for flying.
Birds use wings.,Birds use wings for flying.
Falcons eat animals.,Falcons eat small mammals.
Falcons eat animals.,Falcons eat birds.
Falcons eat animals.,Falcons eat mammals.
Songbirds adapt to temperature.,Songbirds adapt to temperature at which they live.
Songbirds adapt to temperature.,Songbirds adapt to variations in air temperature.
Songbirds adapt to temperature.,Songbirds adapt to temperature at which they migrate.
Songbirds adapt to temperature.,Songbirds adapt to environmental temperature.
Blue lorikeets feed on mangos.,Blue lorikeets feed on mangoes.
Woodpeckers nest in holes.,Woodpeckers nest in hollow trees.
Birds eat spiders.,Birds eat spiders.
Scarlet macaws have beaks.,Scarlet macaws have pointed beaks.
Scarlet macaws have beaks.,Scarlet macaws have strong beaks.
Hawks eat mice.,Hawks eat a field mouse.
Hawks eat mice.,Hawks eat a house mouse.
Hawks eat mice.,Hawks eat field mice.
Peacocks have legs.,Peacocks have two legs.
Peacocks have legs.,Peacocks have peacocks have two legs.
Birds reach ages.,Birds reach an adult age.
Birds reach ages.,Birds reach an adult.
Eagles inhabit northern hemispheres.,Eagles inhabit a northern hemisphere.
Eagles inhabit northern hemispheres.,Eagles inhabit north america.
Birds require wings.,Birds require wings to fly.
Birds require wings.,Birds require wings for flight.
Birds require wings.,Birds require wings for flying.
Pigeons grow feathers.,Pigeons grow flight feathers.
Pigeons grow feathers.,Pigeons grow body feathers.
Pigeons grow feathers.,Pigeons grow primary feathers.
Parrots stand on feet.,Parrots stand on perching feet.
Parrots stand on feet.,Parrots stand on feet.
Birds possess bodies.,Birds possess a birds have a skeleton made of bone.
Birds possess bodies.,Birds possess bodies adapted for flight.
Birds possess bodies.,Birds possess birds have muscles that help them move.
Birds possess bodies.,Birds possess a skeleton.
Birds possess bodies.,Birds possess a skin.
Owls eat prey.,Owls eat insects.
Birds use legs.,Birds use bipedalism.
Birds use legs.,Birds use bipedal.
Birds fly over nests.,Birds fly over nests of birds.
Birds fly over nests.,Birds fly over nests of other creatures.
Birds fly over nests.,Birds fly over nests of animals.
Penguins carry eggs.,Penguins carry eggs.
Warblers eat small insects.,Warblers eat arthropods.
Toucans are canopy specialists in tropical or montane rainforest.,Toucans are canopy specialists in a tropical rainforest.
Toucans are canopy specialists in tropical or montane rainforest.,Toucans are canopy specialists in a montane rainforest.
Birds depend on ecosystems.,Birds depend on wetlands.
Eagles have beaks.,Eagles have sharp beaks.
Owls have metabolism.,Owls have a basal metabolic rate.
Owls have metabolism.,Owls have a metabolic rate.
Birds eat grasshoppers.,Birds eat grasshoppers.
Birds eat grasshoppers.,Birds eat some grasshoppers are edible to birds.
Hawks live in habitats.,Hawks live in rural areas.
