generic,exemplar
Birds feed on grain.,Birds of prey such as hawks and eagles do not feed on grain.
Birds feed on grain.,Birds that live in a place where there is no grain do not feed on grain.
Birds feed on grain.,Peregrine falcons do not feed on grain.
Birds feed on grain.,Birds that feed on fish such as ospreys do not feed on grain.
Birds feed on grain.,White-tailed kites do not feed on grain.
Birds feed on grain.,Birds that are young and have not learned to eat grain yet do not feed on grain.
Birds feed on grain.,Birds that feed on insects do not feed on grain.
Birds feed on grain.,"Woodpeckers, which eat insects do not feed on grain."
Peregrine falcons have wings.,Peregrine falcons that are very young and have not yet grown their wings do not have wings.
Birds depend on vegetation.,"Birds that eat insects, such as swallows and flycatchers do not depend on vegetation."
Birds depend on vegetation.,"Birds that eat fish, such as loons and kingfishers do not depend on vegetation."
Birds depend on vegetation.,Birds that eat insects-birds that eat fish-birds that scavenge do not depend on vegetation.
Birds depend on vegetation.,Birds that feed on insects do not depend on vegetation.
Birds depend on vegetation.,Birds that are scavengers do not depend on vegetation.
Toucans live in rainforests.,Toucans that are being bred in captivity do not live in rainforests.
Toucans live in rainforests.,Toucans that are being kept as pets do not live in rainforests.
Toucans live in rainforests.,Toucans that are on a farm do not live in rainforests.
Bird bones are hollow and filled with air from the bird's lungs.,Bird bones that are located in a bird's leg are not hollow and filled with air from the bird 's lungs.
Bird bones are hollow and filled with air from the bird's lungs.,Bird bones that are located in a bird's sternum are not hollow and filled with air from the bird 's lungs.
Kingfishers have long tails.,Blue-headed kingfisher does not have long tails.
White storks have legs.,White storks that have lost their legs in a battle do not have legs.
Robins eat earthworms.,Robins that live in a place where there are no earthworms do not eat earthworms.
Robins eat earthworms.,Robins that live near the ocean and eat mostly small fish do not eat earthworms.
Robins eat earthworms.,"American kestrels, which eat small mammals, such as rodents do not eat earthworms."
Robins eat earthworms.,House sparrows do not eat earthworms.
Robins eat earthworms.,Robins that are sick or injured do not eat earthworms.
Robins eat earthworms.,Robins that live in a desert do not eat earthworms.
Robins eat earthworms.,Nuthatches do not eat earthworms.
Owls respond to their own species calls if played back in a nesting territory.,Owls that are not in the nesting territory do not respond to their own species calls when played back in a nesting territory.
Owls respond to their own species calls if played back in a nesting territory.,Owls that are too far away from the caller do not respond to their own species calls when played back in a nesting territory.
Owls respond to their own species calls if played back in a nesting territory.,Owls that are not in the mood do not respond to their own species calls when played back in a nesting territory.
Owls respond to their own species calls if played back in a nesting territory.,Owls that are feeding young and cannot leave the nest; or do not respond to their own species calls when played back in a nesting territory.
Golden lemurs have golden fur.,The black-and-white ruffed lemur does not have golden fur.
Golden lemurs have golden fur.,The ring-tailed lemur has black and white fur does not have golden fur.
Golden lemurs have golden fur.,Golden lemurs that are newborns do not have golden fur.
Golden lemurs have golden fur.,The rufous lemur does not have golden fur.
Golden lemurs have golden fur.,The white-headed lemur does not have golden fur.
Birds possess flight.,Birds that have a physical condition that does not allow them to fly do not possess flight.
Birds possess flight.,Birds that are young and have not yet learned to fly do not possess flight.
Birds possess flight.,Birds that are young and have not yet grown their feathers do not possess flight.
Birds possess flight.,Birds that are in captivity and can't fly do not possess flight.
Birds possess flight.,Birds that are chicks not yet old enough to fly do not possess flight.
Birds possess flight.,Ostriches do not possess flight.
Birds possess flight.,Birds that are injured and cannot fly do not possess flight.
Birds possess flight.,Birds that are sick and cannot fly do not possess flight.
Birds sit in nests.,Birds that are looking for food do not sit in nests.
Scarlet macaws feed on tropical fruit.,Scarlet macaws that are in a location where tropical fruit is not available do not feed on tropical fruit.
Scarlet macaws feed on tropical fruit.,Scarlet macaws that are in locations where tropical fruit is not available do not feed on tropical fruit.
Scarlet macaws feed on tropical fruit.,Scarlet macaws that stay in a colder place for a long time do not feed on tropical fruit.
Scarlet macaws feed on tropical fruit.,Scarlet macaws that are in a colder climate do not feed on tropical fruit.
Scarlet macaws feed on tropical fruit.,Feed on cacti do not feed on tropical fruit.
Birds have four toes.,"The kiwi, which has two toes does not have four toes."
Birds have four toes.,Birds that have lost a toe do not have four toes.
Birds have four toes.,"The ostrich, which has two toes does not have four toes."
Birds have four toes.,"The emu, which has three toes does not have four toes."
Birds have four toes.,Birds that have just hatched do not have four toes.
Birds eat relatively large quantities of food in proportion to their body weight.,Birds that are sick or injured do not eat relatively large quantities of food in proportion to their body weight.
Birds eat relatively large quantities of food in proportion to their body weight.,Birds that are incubating eggs or caring for young do not eat relatively large quantities of food in proportion to their body weight.
Birds eat relatively large quantities of food in proportion to their body weight.,Birds that are incubating eggs do not eat relatively large quantities of food in proportion to their body weight.
Birds eat relatively large quantities of food in proportion to their body weight.,Birds that are fasting do not eat relatively large quantities of food in proportion to their body weight.
Birds sit on legs.,Seagulls often stand on one leg does not sit on legs.
